ABV,Brewery,Description,IBU,Name,Rating,Style,URL
"starstarstarstar_halfstar_border 3,60",Lo Perot,"Lo Perot N’Alera - La Rossa
Cervesa lleugera en cos i gasificació moderada. poca amargor final però amb gustos florals, que equilibren la dolçor dels malts.
Maridatge: Aperitius, fregits, coques i pizzes.
----------------------
Cerveza ligera, ... Ver más poco cuerpo y gasificación moderada. Poca amargura final pero con sabores florales, que equilibran el dulzor de los maltas.
Maridaje : Aperitivos, fritos , tortas y pizzas. Ver menos","starstarstarstar_halfstar_border 3,60",Lo Perot N’Alera,,Pale Ale,/cervezas/lo-perot-n-alera
5.5 º,Krut,"Krut Gold es una cerveza dorada tipo American Golden Ale hecha con levadura ‘Prise de Mousse’ y lúpulo Citra. Tiene un sabor malteado sutil, aroma a lúpulo y color dorado. Suave y refrescante a la vez, es ideal para cualquier momento. Es nuestro ... Ver más de la inmortalidad. Ver menos",5.5 º,Krut Gold,,Blonde Ale,/cervezas/krut-gold
50 IBU,Bayura,"Bayura Beer Watch Winter
India Pale Ale con pimienta de Sichuan
Versión de invierno de nuestra cerveza mas veraniega.",50 IBU,Bayura Beer Watch Winter,,India Pale Ale,/cervezas/bayura-beer-watch-winter
"starstarstarstar_halfstar_border 3,40",Tierra de Frontera,"PICONERA Cerveza tipo Brown Porter. Color marrón profundo, con destellos rojizos.Aroma dominado por las maltas tostadas, con notas torrefactas de café, regaliz e incluso chocolate.
En boca vuelven a aparecer de manera más decidida estos atributos, ... Ver más por encima de todos un agradable y equilibrado toque a café, rellenado por el dulzor de las maltas caramelizadas, y culminado con un largo final, seco y amargo. Cuerpo ligero/ medio. Ver menos","starstarstarstar_halfstar_border 3,40",Tierra de Frontera Piconera,,Brown Porter,/cervezas/tierra-de-frontera-piconera
5 º,Cervezas de los Filabres,"Filabres Tequila Fusion Beer
American Pale Ale contemporénea elaborada con lúpulos amwricanas, sabor suave.",5 º,Filabres Tequila Fusion Beer,,American Pale Ale,/cervezas/filabres-tequila-fusion-beer
40 IBU,La Picocervesera,La TiraEdición especial para celebrar los 19 años de la revista La Tira : 2 La Tira és una revista gratuïta dinformació de serveis culturals i comercials de tot el Ripollès.,40 IBU,Picocervesera La Tira,,American Pale Ale,/cervezas/picocervesera-la-tira
5.5 º,EspigaEdge Brewing,"Spike Límit
DDH Pale Ale
Una DDH Pale Ale que és una explosió d’aromes tropicals i exòtics, acompanyats de tocs més lleugers de cítrics i herbals. Les maltes utilitzades creen un coixí perfecte pels llúpols d’aquesta DDH Pale Ale, els ... Ver más exhibeixen tota la seva riquesa i complexitat al llarg de cada glop en una cervesa ideal per aquesta primavera.
--------------
Una DDH Pale Ale que es una explosión de aromas tropicales y exóticos, acompañados de toques más ligeros de cítricos y herbales. Las maltas utilizadas crean una almohada perfecto por los lúpulos de esta DDH Pale Ale, los cuales exhiben toda su riqueza y complejidad a lo largo de cada trago en una cerveza ideal para esta primavera.
---------------
A DDH Pale Ale that is an explosion of tropical and exotic aromas, accompanied by lighter citrus and herbal touches. The malts used create a perfect cushion for the hops of this DDH Pale Ale, which show all their richness and complexity throughout each drink in an ideal beer for this spring. Ver menos",5.5 º,Espiga / Edge Brewing Spike Límit,,American Pale Ale,/cervezas/espiga---edge-brewing-spike-limit
,Cervezas Tomar,Cerveza Ale cobriza,,Acacia Ale Cobriza,,Ale,/cervezas/acacia-ale-cobriza
35 IBU,Bidassoa Basque Brewery,"Acid Flashback
Farmhouse IPA
De color dorado, cristalina y con espuma blanca y persistente. Muy aromática, destacando aromas especiados, pimienta. Sabor equilibrado ligeramente especiado y herbaceo. De cuerpo medio-ligero. Final equilibrado y ligeramente ... Ver más y picante. Cerveza refrescante donde resaltan las notas de levadura.  Ver menos",35 IBU,Bidassoa Basque Brewery Acid Flashback,,IPA Otros,/cervezas/bidassoa-basque-brewery-acid-flashback
35 IBU,Cervezas Populus,"Populus Mild
Cerveza oscura y cremosa de notas maltosas como cacao, café…",35 IBU,Populus Mild,,Mild,/cervezas/populus-mild
5 º,Cervezas MammoothCervezas Vacceum,"Mammooth & Vaccevm Amazonas Xperience Edición especial limitada Navidad.
Samba Porter: Una porter clásica con un añadido muy especial de productos traídos desde la amazonía peruana.
De espuma cremosa y persistente, equilibrada en nariz y boca, ... Ver más el carácter propio de la castaña y el ají en su composición, haciendo de esta Variación sobre una porter clásica una sencilla obra de artesanía alimentaria. 5 Maltas, dos lúpulos, ají, castaña y uña de gato. Ver menos",5 º,Amazonas Xperience,,Specialty Beer,/cervezas/amazonas-xperience
30 IBU,Laugar Brewery,"Laugar Anniversary 2016
Belgian Dark Strong Ale
Color Intenso caoba. En aroma notas alicoradas y frutas maduras. Sensación en boca sedosa y con gran cuerpo, largas notas dulces.
",30 IBU,Laugar Anniversary 2016,,Belgian Dark Strong Ale,/cervezas/laugar-anniversary-2016
46 IBU,Bidassoa Basque Brewery,"Adur
Imperial Pils
Color dorado. Espuma blanca, persistente. Aromas herbáceos y especiados, de cuerpo medio-ligero y con notas maltosas y pan. Amargor ligero.
De los Pirineos al Golfo de Bizkaia; río errante, inconformista. Reflejo del espíritu ... Ver más majestuoso a la vez que inquieto y rebelde. Fuente de comercio e industria, orgullo de Bayona. Ver menos",46 IBU,Bidassoa Basque Brewery Adur,,Pilsner,/cervezas/bidassoa-basque-brewery-adur
40 IBU,Espiga,"Hyperactive TDH
T.D.H. IPA
Una Triple Dry Hopped IPA carregada de llúpol. De color daurat pàl·lid, amb certa terbolesa i escuma blanca. En aroma i sabor destaquen les notes afruitades i herbals que es combinen juntament amb la sensació càlida ... Ver más boca. És una cervesa artesana amb una amargor suau.
---------------
Una Triple Dry Hopped IPA cargada de lúpulo. De color Dorado pálido, con cierta turbidez y espuma blanca. En aroma y sabor destacando las notes afrutadas y herbales que se combinan junto a la sensación cálida en boca. Es una Cerveza artesana con un amargor suave. Ver menos",40 IBU,Espiga Hyperactive TDH,,American IPA,/cervezas/espiga-hyperactive-tdh
33 IBU,Popaire,"Popaire Escuma de Mar
Low Summer Ale 3,5%, de alta fermentación. Cerveza rubia, ligera, refrescante, bien balanceada malta / alcohol / lúpulo. Sabor a fresas, plátano, más bien dulce. En copa color dorado, ligeramente turbia, buena claridad, ... Ver más retención de espuma, encaje correcto. Carácter de lúpulo presente, sin ser una cerveza amarga.-Ivan Bertran-Temperatura de consumo: de 5 º C a 10 º C Ver menos",33 IBU,Popaire Escuma de Mar,,Blonde Ale,/cervezas/popaire-escuma-de-mar
4.3 º,Egeria,"Egeria Negra
Tipo Stout con trigo. Es una cerveza muy oscura, densa, algo dulzona y con un sabor profundamente tostado.
Cerveza que sorprende para maridar con postres y su excelente combinación con el chocolate.  ",4.3 º,Egeria Negra,,Stout,/cervezas/egeria-negra
20 IBU,Hidromiel Rasmia,"Rasmia Lupo
Hoppy Mead
Lupo es una hidromiel especiada con Lupulos en Dry Hopping.
De color amarillo pálido con brillos dorados, posee un carácter fresco y aromático. Destacan notas frutales y florales, armonizadas por un perfecto equilibrio ... Ver más acidez y dulzor. Ver menos",20 IBU,Rasmia Lupo,,Mead - Hidromiel,/cervezas/rasmia-lupo
30 IBU,Maiku Brewing,"Maiku Pale Ale
Lightly flavoured with smooth citrusy hops, hints of malt in aroma. Golden colour. Maltosy but dry and balanced. Easydrinking!.",30 IBU,Maiku Pale Ale,,Pale Ale,/cervezas/maiku-pale-ale
"starstarstarstar_halfstar_border 3,70",Cerveza Tesela,"Tesela Tostada Roble es una cerveza de alta fermentación (Ale), sin conservantes ni aditivos de tipo artificial, 100% malta de cebada, sin filtrar ni pasteurizar. La utilización de virutas de roble francés durante su maduración en depósitos de ... Ver más inoxidable le aporta un carácter especial. Los sedimentos son propios de su carbonatación natural. Recomendamos servir con cuidado la cerveza dejando los posos en la botella.La CataCerveza de bonito color ámbar-topacio o caramelo rubio, con una corona muy persistente a pesar del tiempo que pueda permanecer en la copa.Al acercárnosla a la nariz, nos vienen en inicio aromas de lúpulo y maltas de calidad, recuerdos de frutos secos propios de las maltas como son la nuez tostada, incluso garrapiñada, así como de maderas varias mezcladas con caramelo tostado: brezo, regaliz de palo, torrefactos suaves, incluso polen o miel tostada.En boca es donde se desarrolla en plenitud y “se abre” en todo su esplendor: carbónico suave e integrado es lo primero que percibe el paladar. A continuación la cerveza se va desarrollando por todas las papilas gustativas con una densidad media y alcohol muy moderado, y dejando marcado de nuevo los recuerdos del tostado de la madera: caramelo o miel tostada, frutas de hueso escarchadas, dátil, ciruela pasa, polen; para dejar una persistencia final muy pronunciada, con sensaciones tánicas propias de otras bebidas, y que de nuevo vuelven a recordarnos su elaboración con madera de roble.En fin, una cerveza para disfrutar con tranquilidad, sólo o en compañía de los amigos, sola o para acompañar una buena mesa con platos de carnes blancas a la brasa, guisos tradicionales o escabeches ligeros, o incluso platos más modernos y sugerentes como una buena ventresca ahumada o un buen atún teriyaki.Cata realizada por Diego Muñoz, sumiller del restaurante La Lobita de Navaleno (Soria). Ver menos","starstarstarstar_halfstar_border 3,70",Tesela Tostada Roble,,Amber Ale,/cervezas/tesela-tostada-roble
20 IBU,DJ Gorilla,"Rosamunda
Nuestra cerveza Radler elaborada con Stevia, zumo de limón y muchas horas de cariño, se nos presenta con solo 96,69 calorías (otras Radler más de 130 kcal/botella).
Nuestra Radler tiene un sabor muy refrescante. Es ideal para estar con ... Ver más amigos en la playa, en un concierto o en una terraza, además su baja graduación es un punto a nuestro favor y del consumidor.
Radler con Stevia, baja en calorías y la primera que no tiene la etiqueta amarilla.
Rosamunda es un homenaje a todas esas mujeres con cáncer de mama que día a día, nos demuestran que son heroínas y que a pesar de su enfermedad, siguen manejando el timón del barco de la familia mientras se enfrentan a tempestades que un hombre no imaginaría.  Ver menos",20 IBU,DJ Gorilla Rosamunda,,Shandy / Radler,/cervezas/dj-gorilla-rosamunda
4.5 º,Garage Beer CoTemescal Brewing,"Beyond Repair
Session IPA de 4,5% ABV hecha con lúpulos BRU-1, Citra y Chinook en colaboración con Temescal Beer.",4.5 º,Garage Beer Co / Temescal Beyond Repair,,Session IPA,/cervezas/garage-beer-co---temescal-beyond-repair
6.5 º,Garage Beer Co,"Saison Foudre Blend
Envejecida en foudre durante 8 meses. Tiene un aroma intenso a pechuga, con levadura y bayas ácidas. En boca es agrio, ácido, con bayas y levadura de fondo. Y un final seco y ácido.",6.5 º,Garage Beer Co Saison Foudre Blend,,Saison,/cervezas/garage-beer-co-saison-foudre-blend
75 IBU,No Nation Brewing,"TTT
West Coast IPA
Derma Series
TTT Derma Series, es una cerveza de estilo West Coast con dos cepas de levadura, que han trabajado en paralelo. Una combinación perfecta de lúpulos.
*Grabado en tu piel. Hasta el final. Lo que viviste, es lo que eres. ... Ver más que serás, solo lo sabes tú. Ver menos",75 IBU,No Nation TTT,,American IPA,/cervezas/no-nation-ttt
"starstarstar_halfstar_borderstar_border 2,60",Sa Bona Birra,"Sa Bona Birra EH!?
Dry Hopping","starstarstar_halfstar_borderstar_border 2,60",Sa Bona Birra EH!?,,India Pale Ale,/cervezas/sa-bona-birra-eh--
"starstarstarstar_halfstar_border 3,50",Eureka Cervesa Positiva,"Eureka Caramel de Bosc

Strong Spiced Red Ale","starstarstarstar_halfstar_border 3,50",Eureka Caramel de Bosc,,Specialty Beer,/cervezas/eureka-caramel-de-bosc
30 IBU,La Sitgetana Craft Beer,"La Sitgetana Toc de MatinadesCon albahaca fresca, albahaca seca y aceite esencial de albahaca
",30 IBU,La Sitgetana Toc de Matinades,,American Wheat or Rye Beer,/cervezas/la-sitgetana-toc-de-matinades
17 º,YriaSeven Island Brewery,"Nicta
Massive RSI
Bourbon Maple Evil Stout
Yria / Seven Island Nicta Massive RSI es una colaboración con nuestros amigos griegos Seven Island elaborada en cervezas Yakka. Es una imperial stout con sirope de arce, nuez pecana, vainilla y virutas de ... Ver más empapadas en bourbon, que redondean sus 17% terriblemente bebibles.
-----------
Brewed with our greek brothers Seven Island here in Spain. Evil massive 17 abv stout but terribly drinkable. Maple syrup, bourbon soaked oak chips, madagascar vanilla, muscovado sugar and pecan nut. Something you will love and afraid. Ver menos",17 º,Yria / Seven Island Nicta,,Russian Imperial Stout,/cervezas/yria---seven-island-nicta
40 IBU,Trinitaria,"Pajiza Cardamom - Card-A-Mom
Cerveza tostada sin pasteurizar ni filtrar, de color ambar con sabor y aroma cítricos, y un toque especiado debido al uso de cardamomo.",40 IBU,Trinitaria Cardamom,,"Spice, Herb o Vegetable Beer",/cervezas/trinitaria-cardamom
"starstarstarstar_borderstar_border 3,20",BIIR Barcelona Craft Beer,"BIIR California - Eco Extra Special Bitter
Inspirada en l’estil de vida Californià. Extra Special Bitter elaborada amb productes 100% ecològics, creada per a satisfer als cervesers més compromesos.
----------------------------
Inspirada en ... Ver más estilo de vida de California, Extra Special Bitter elaborada con ingredientes 100% ecológicos, creada para satisfacer a los cerveceros més comprometidos.  Ver menos","starstarstarstar_borderstar_border 3,20",BIIR California - Eco Extra Special Bitter,,Special-Best-Premium Bitter,/cervezas/biir-california---eco-extra-special-bitter
6.3 º,Naparbier,"Psycho
DDH IPA
Amarillo, Simcoe, Mosaic.",6.3 º,Naparbier Psycho,,India Pale Ale,/cervezas/naparbier-psycho
6 º,Reptilian BreweryZulogaarden,"Reptlian / Zulogaarden Droja Güena
Rice India Pale Lager
Des del cau del reptil més evolucionat de la Costa Daurada estan sortint propulsats fardakos de Droja GüenaA sense tallar. Aquesta segona entrega de la sèrie “Drojas”, i que segueix ... Ver más la Droja Mala, és el fruit de la col•laboració i demència de Reptilian Brewery i Zulogaarden.
Cristal•lina com les ànimes dels unicorns, lleugera com el paper de plata d’un yonki, sorprenent com un diumenge sense trallar, aromàtica com un cañardo de truja hidropònica, entra por la tocha i por la vena, la Droja Güena és una Indian Rice Pale Lager.
No, ara en sèrio: Llevat lager, arròs i llúpol... que pot fallar? Si a Budweiser i a altres birres mediterrànies els funciona, a nosaltres també! A tope con el rice!! Rice by the face!! Rice is the new hop!! T’agradarà molt a tu i al teu xicot. Ver menos",6 º,Reptlian / Zulogaarden Droja Güena,,Lager,/cervezas/reptlian---zulogaarden-droja-guena
9 º,Ale con 9 meses en un barrica hecho de roble de vino tinto de El Priorat.Con Brettanomyces .,Ale con 9 meses en un barrica hecho de roble de vino tinto de El Priorat.Con Brettanomyces .,9 º,Nómada Crianza 2012,,Sour Ale,/cervezas/nomada-crianza-2012
"starstarstarstarstar 5,00",Cervezas La Pepa,"La Pepa Lager
La Pepa se muestra en la copa con un color dorado casi transparente y con una corona de espuma blanca, jabonosa y duradera. Con notas maltosas, matices de cereal, pan y vagos aromas de caramelo. En la boca tiene un cuerpo ligero, carbonatación ... Ver más y final seco y duradero. Con olor a hierba fresca y frutas. Características que, sumadas, hacen de La Pepa una pilsner que destaca por su sabor especial.
Una Rubia Lager, o pils pálida, es la mejor definición para La Pepa. Pero ahí acaban las coincidencias con otras cervezas tipo lager. Su originalidad nace de las distintas variedades de malta que se han usado en su elaboración, así como su proporción. El sabor y aroma que se consigue de esta receta original, fiel a la Ley de Pureza, adquiere unos matices especiales gracias a los lúpulos, el agua, los tiempos y las temperaturas elegidos. Orgullosamente, podemos decir que nuestra cerveza resulta muy distinta en su categoría. Fresca, pura y natural. Pero no pidan que contemos nuestro secreto. Preferimos que sigan disfrutándolo cada vez que abran una Pepa, en cualquier ocasión y con cualquier acompañamiento. Ver menos","starstarstarstarstar 5,00",La Pepa Lager,,Lager,/cervezas/la-pepa-lager
