,Name,Style,Description
4503,"Monsieur Gordo Choconut starstarstarstarstar_border 4,08 ",Imperial Stout - 9.4 º - 27 IBU,"Monsieur Gordo Choconut
Doble Stout con Chocolate y Coco.
Maltas: Pale Ale, Wheat malt, Cristal, Roasted Barley.
Lúpulos: Columbus & Chinook. Coco y Cacao. OG: 1095 FG: 1023 / 9,4% IBU: 27 EBC: Negro Azabache."
4504,"Vitis Picapoll starstarstarstar_halfstar_border 3,33 ",Fruit Beer - 6 º - 20 IBU,"Vitis Picapoll
Cervesa de most.
Elaborada con mosto de uva blanca y lúpulo Amarillo.
En aroma, amb escència de vi, fruites blanques i tropicals. En gust, notes de dolçor de mel en equilibri amb l’acidesa cítrica que la fan una cervesa refrescant amb gust final moderadament amarg.
---- ..."
4505,"Barcelona Beer Company Miss Hops starstarstarstar_halfstar_border 3,66 ",India Pale Ale - 6 º - 70 IBU,"Barcelona Beer Company Miss Hops
Ya está aquí Miss Hops, nuestra nueva cerveza!!!. Una High IPA con kilos, kilos y más kilos de Simcoe y Amarillo, y un aromazo tremendo!!!.
----------
Ja tenim aquí la Miss Hops, la nostra nova cervesa!!!. Una High IPA amb kilos, kilos més kilos de Simco ..."
4506,Naparbier Fext ,Pilsner - 5.5 º - 40 IBU,"Naparbier Fext
Tambien conocida como PLZN
Mortalmente fresca, mortalmente sabrosa. Descubre una Pilsner al más puro estilo Naparbier.
Color rubio dorado cristalino con espuma blanca. Las notas a mandarina y limón predominan sobre la base de malta y pan y los toques a hierba y resina."
4507,"Gram Daimon starstarstarstar_borderstar_border 3,24 ",Porter - 5.5 º - 25 IBU,"Gram Daimon
Cerveza negra de estilo porter elaborada de forma artesanal con agua de los acuíferos de la Sierra de Mariola, cuatro variedades de cebada malteada, flor de lúpulo y levadura, a los que se añade como aporte de sabor y consistencia la algarroba."
4508,Bidassoa Basque Brewery / The Beer Garden The White Wave ,Pale Ale - 5.4 º,"The White Wave‘ Nº4, lote 1.
Fresh & Hoppy pale Ale
Una cerveza de trago largo, fresca y aromática con 5,4 grados de alcohol."
4509,"Mad Brewing Holy Smoke starstarstarstar_halfstar_border 3,61 ",Porter - 6.2 º,"Mad Brewing Holy Smoke
Smoked Porter"
4510,Mad Brewing Imperial Stout ,Imperial Stout - 9.2 º,"Mad Brewing Imperial Stout
Draft Only"
4511,Mad Brewing Pajarito ,Ale - 3..6 º,"Mad Brewing Pajarito
Draft Only"
4512,"Mad Brewing Sesion Saison starstarstarstar_halfstar_border 3,53 ",Saison - 4.7 º - 28 IBU,Mad Brewing Sesion Saison
4513,"Mad Brewing Mad Red starstarstarstar_halfstar_border 3,59 ",Red Ale - 7.1 º - 58 IBU,Mad Brewing Mad Red
4514,"Mad Brewing Mad City starstarstarstar_halfstar_border 3,55 ",American Pale Ale - 5.1 º - 40 IBU,Mad Brewing Mad City
4515,"Mad Brewing Trigo Hoppy starstarstarstar_halfstar_border 3,65 ",American Wheat or Rye Beer - 5.2 º - 43 IBU,Mad Brewing Trigo Hoppy
4516,Ancestra Ibérica Red Gold ,"Spice, Herb o Vegetable Beer - 5.5 º","Ancestra Ibérica Red Gold
Cerveza a la que se le ha añadido azafrán, al que debe los aromas a miel y flores, con un fondo especiado a lúpulo.
De color rojizo brillante, con espuma blanco perlo, cremosa y persistente. De carbonatación natural media. El sabor es suave y moderado a malta co ..."
4517,"Reptilian Apokalypse Brandy Barrel Aged starstarstarstarstar_border 4,24 ",Russian Imperial Stout - 11.5 º - 100 IBU,"Reptilian Apokalypse Brandy Barrel Aged
Bourbon barrel Aged Russian Imperial Stout
¡Ya está aquí la Apokalypse!
En esta ocasión hemos decidido hacer todo el lote ""barrel aged"".
Han sido dos meses de espera, dos meses que ha estado madurando en barricas de Brandy.
¡Esperamos que las di ..."
4518,"Edge Brewing Space Coast starstarstarstar_halfstar_border 3,43 ",India Pale Ale - 4.5 º - 31 IBU,"Edge Brewing Space Coast Session IPA
A cosmic golden, sessionable ale to please the most discerning species. Prepare yourself for a blast of grapefruit, citrus and pine rounded out with smooth bitterness. Space cowboys and cowgirls. . . . . Salut!
Crisp and dry with a taste that matches the h ..."
4519,Edge Brewing Cookie Euphoria ,Amber Ale - 5.2 º - 28 IBU,"Edge Brewing Cookie Euphoria Amber Ale
Inspired by Grandma’s secret oatmeal chocolate chip cookie recipe, this amber ale combines the flavours of specialty malts, toasted Finnish oats, cocoa nibs from Ghana, and Madagascan vanilla beans. Like home-made cookies in a glass. Enjoy!
Caramel, bi ..."
4520,"Mateo & Bernabé Little Bichos Araña starstarstarstar_halfstar_border 3,47 ",Wood-Aged Beer - 8.1 º,"Mateo & Bernabé Little Bichos Araña - Spider - Barrel Aged Riojan Porter
Porter envejecida en barricas de vino de Rioja"
4521,"Forastera Ocre starstarstar_halfstar_borderstar_border 2,70 ",Dark Lager - 4.9 º - 19 IBU,"Forastera Ocre
Dark Lager
La suavidad de las cervezas Lager es bien conocida, ya que es el estilo más extendido por todo el mundo. Nuestro deseo con Ocre ha sido el crear un sabor más complejo que combine la suavidad con el dulzor de la malta y un liguero toque de lúpulo. Nuestros especial ..."
4522,"Forastera Es Blat i S’Ordi starstarstarstar_borderstar_border 3,02 ",Weizen-Weissbier - 5 º - 12 IBU,"Forastera Es Blat i S’Ordi
Nuestra dama de trigo con aroma de tréboles y frutas
Posiblemente el estilo más antiguo de cerveza, las de trigo fermentan con una levadura particular que desarrolla un cuerpo turbio de sabor intenso. Como alemán viviendo en Mallorca quiso regalarle a su nuevo  ..."
4523,Forastera Rock The Bock Bockbier ,Bock - 5.7 º - 24 IBU,"Forastera Rock The Bock Bockbier
Las cervezas del norte de Alemania eran ya muy apreciadas en la edad media y se exportaban a Bavaria e incluso Italia. Para que llegaran sabrosas a destino, las elaboraban con mayor concentración de malta, con más alcohol a fin de cuentas.
Es una cerveza osc ..."
4524,"Forastera Summer Ale starstarstarstar_borderstar_border 2,91 ",Blonde Ale - 4.5 º - 20 IBU,"Forastera Summer Ale
Rubia refrescante con un sutil beso de lúpulo
Al acercarse el verano de 2015, Sven comenzó a investigar sobre nuevas cervezas para mantener a la gente fresquita durante el calor. Se topó con una antigua receta llamada “bitter ale”. Esta receta representaba un proce ..."
4525,Forastera Brownzilla ,American Brown Ale - 5.3 º - 24 IBU,"Forastera Brownzilla
Cuerpo rico en facetas a través de las cinco maltas de esta receta, armonizadas con tres variedades de lúpulos. Sorprende con nuevos detalles de sabor y aroma en cada trago.
„It tastes like home“ (Jimmy, escocés)"
4526,"Forastera Another Fucking IPA starstarstarstar_borderstar_border 3,05 ",India Pale Ale - 6.6 º - 74 IBU,"Another Fucking IPA
La inglesa preferida maridada en lúpulos olvidados
Otra India Pale Ale. Buen cuerpo, un toque cremoso inicial seguido de una fuerte nota aromática durante el trago, que permanece, dando ganas de más. La fuerza de su sabor sin acudir a un amargor agresivo ha sido muy cel ..."
4527,"Sullerica Valenta starstarstarstarstar_border 4,00 ",India Pale Ale - 4.3 º,"Sullerica Valenta
Session IPA, con pétalos de rosa, fresca , atractiva, divertida y valiente.
Octubre, més del cáncer de pecho. Desde Sullerica hemos querido hacer un homenaje a todas las mujeres que han sufrido o conviven con esta enfermedad. Por eso os queremos presentar ""Sullerica Valen ..."
4528,"Guineu / La Quince Unknown Pleasures starstarstarstar_halfstar_border 3,70 ",Imperial Stout - 10.4 º - 75 IBU,"Guineu / La Quince Unknown Pleasures
Rapaces Night Hunters - Imperial Stout Whysky Wood Aged
There are many ingredients in making Unknown Pleasures, but the secret ingredient is the people. Cervesa Guineu and La Quince Brewery teams Brew Wild and following the Rapaces Night Hunters Brewing Co ..."
4529,"Guineu / Lambrate Saigon Hoppy Coffee starstarstarstarstar_half 4,60 ",American Brown Ale - 6.2 º - 70 IBU,"Guineu / Lambrate Saigon Hoppy Coffee
Indian Brown Ale"
4530,"Akui Lupulus Red Ale starstarstar_halfstar_borderstar_border 2,66 ",Red Ale - 5.5 º - 40 IBU,"Akui Lupulus Red Ale
Color rojizo anaranjado, espuma de milimetraje medio-fino, óptima retención y encaje de Bruselas.
Aroma prominente cáscara de naranja y herbáceo, recuerdo a frutas con hueso, cilantro y notas a caramelo.
Sabor a mermelada de naranja, herbácea y botánica, nuez y a ..."
4531,"Enigma Cervantes 400 starstarstarstar_borderstar_border 3,09 ",Witbier - 4.5 º - 15 IBU,"Enigma Cervantes 400
Cerveza conmemorativa del IV Centenario de la muerte de Miguel de Cervantes.
Enigma Cervantes 400 - Eniwit. Refrescante con acabado seco y ligeramente ácido, ideal para combatir la sed, con toques placenteros donde se adivinan naranjas, trigo, plátano y una chispa sorpr ..."
4532,"L’A Beer British Brown starstarstarstar_halfstar_border 3,41 ",English Brown - 7.2 º,"L’A Beer British Brown
L’A Beer: Cerveza artesana creada por Carlos Buetas (L’Abrevadero) y Marin Samper (Dos Bous) para su venta y distribución en Ainsa Huesca y entorno. 
Una British Brown de con mucho sabor, cuerpo y aroma."
4533,"Ambar Radler starstarstarstar_borderstar_border 2,82 ",Fruit Beer - 2.5 º,"Ambar Radler
Cerveza con limón
Hemos partido del concepto de que una muy buena cerveza con limón solo puede salir de una muy buena cerveza. Con esa premisa y buscando el equilibrio en la mezcla ha nacido Ambar Radler, una opción muy refrescante cuando el calor aprieta."
4534,"La Calavera Sangre de Unicornio starstarstarstar_halfstar_border 3,28 ",Fruit Beer - 3 º,"La Calavera Sangre de Unicornio
Ligera, fresca, con frutos rojos"
4535,Monasterium Cerveza Artesanal ,Blonde Ale - 5 º,"Monaterium Cerveza Artesanal
Esta cerveza artesanal es el resultado de la evolución de la cerveza durante siglos hasta la actualidad.
Elaborada artesanalmente con criterios monásticos, no contiene aditivos ni productos químicos. Solo 100% malta de cebada y lúpulos de gran sabor y aroma."
4536,La Sagra Helles Lager ,Munich Helles - 4.8 º,"La Sagra Helles Lager
Cerveza artesanal Helles Lager . Cerveza rubia de color claro, al más puro estilo de Bavaria.
Cerveza ligera con notas secas y aromas a lúpulos de la familia Hallertauer.
 "
4537,"La Sagra Madrí starstarstarstar_borderstar_border 3,22 ",Pilsner - 5 º - 11.7 IBU,"Madrí - Chulapo Pilsner
Pilsner
Cerveza artesanal pilsner. Elaborada con malta de cebada española.Madrí es una cerveza artesanal elaborada con amor y chulería.
El uso de 100% malta de cebada española tipo pilsner, hace de Madrí una cerveza rubia, ligera, con notas afrutadas y ligero amarg ..."
4538,El Corte Inglés 75 Aniversario ,Blonde Ale - 5 º,"El Corte Inglés 75 Aniversario
Cerveza artesanal de malta de cebada, de estilo Blond Ale. Con cuerpo ligero y suave. Con sabor y aromas frutales y herbáceos."
4539,"Milana Glück starstarstarstar_halfstar_border 3,54 ",Weizenbock - 7 º,"Milana Glück
Weizenbock
Cerveza de trigo fuerte, al estilo alemán tradicional. La imagen es tan exquisita como la cerveza.
Glück significa en alemán felicidad, alegría, buena suerte
 "
4540,"Maeloc Sidra con Fresa starstarstarstar_halfstar_border 3,30 ",Sidra - Fruit Cider - 4 º,"Maeloc Sidra con Fresa
Si eres un incodicional de la fresa, esta sidra te encantará. Sidra seca con un intenso sabor a fresa.
Color: Rosado intenso y brillante.
Aroma: Agradable fusión entre las golosas fresas y el peculiar carácter de la madurez cítrica del yuzu.
Sabor: A fresa con lig ..."
4541,Maeloc Sidra con Pera ,Sidra - Other Specialty Cider/Perry - 4 º,"Maeloc Sidra con Pera
La combinación más natural
Un perfecto equilibrio entre el sabor que aporta la pera a la sidra seca de manzana.
Color: Amarillo dorado y brillante.
Aroma: Intensas notas de pera y cítricos que aportan una gran frescura.
Sabor: Suave a sidra con pera."
4542,Maeloc Sidra con Mora ,Sidra - Fruit Cider - 4 º,"Maeloc Sidra con Mora
¿Quién no ha ido alguna vez a recoger moras? 
Con un toque de mora que te hará recordar aquellas excursiones al campo.
Color: Rosado y brillante.
Aroma: A sidra con notas de frutos del bosque.
Sabor: A mora, dulzón pero ligero y refrescante."
4543,Maeloc Sidra Seca ,Sidra - Applewine - 4.5 º,"Maeloc Sidra Seca
Elaborada según el proceso original de las antiguas sidras celtas.
Un camino diferente para disfrutar de la sidra.Los fieles encontrarán una sidra más refrescante, y los que todavía no se han acercado al mundo de la Sidra Seca, descubrirán una bebida ligera, de gran sab ..."
4544,Maeloc Sidra Dulce Ecológica ,Sidra - Applewine - 4.1 º,"Maeloc Sidra Dulce Ecológica
El respeto a la naturaleza y la tradición son la inspiración para crear esta sidra.
Color: Amarillo dorado y brillante.
Aroma: Limpio y equilibrado, con notas frutales y sensación de acidez.
Sabor: Franco, dulce, con notas cítricas.
 "
4545,"Maeloc Sidra Natural Ecológica starstarstarstar_halfstar_border 3,34 ",Sidra - Applewine - 5.5 º,"Maeloc Sidra Natural Ecológica
El carácter auténtico de maeloc queda reflejado en su sidra natural. Cuidado artesano y mimo en los detalles, todo para que esta sidra sea lo que esperas de una sidra con origen.
Color: Con irisaciones pajizas, en rama, con sensación de aguja natural.
Aroma ..."
4546,Maeloc Sidra Extra Ecológica ,Sidra - Applewine - 4.1 º,"Maeloc Sidra Extra Ecológica
Un viaje está lleno de momentos para celebrar. Y para esos momentos Maeloc creó la Sidra Extra ecológica. Una celebración de la naturaleza y de los mejores momentos.
Color: Amarillo dorado, brillante con fina burbuja.
Aroma: Limpio y equilibrado, con notas  ..."
4547,"Odiel Tostada de Trigo starstarstarstar_borderstar_border 2,93 ",Weizenbock - 6.5 º,"Odiel Tostada de Trigo
No se ciñe a ningún estilo. De inspiración propia. De aroma y sabor suave a la vez que intenso y muy complejo. De caracter maltoso.
Para tomar sola o acompañar platos contundentes, o carnes rojas o de caza.
Una cerveza para disfrutar. Te sorprenderá."
4548,"La Pirata Lab 002 Gose starstarstarstarstar_border 4,10 ",Gose - 4 º - 5 IBU,"La Pirata Lab Nº 002 Gose
El ácido y el salado trabajan en plena armonía en esta cerveza súper refrescante. Elaborada con lactobacillus y sal de Formentera para el Barcelona Beer Festival 2016. Gose – 4%, 5 ibu, 5 ebc"
4549,"Rock Hall Beer Premium Pale Ale starstarstarstarstar_half 4,30 ",Pale Ale - 4.2 º - 30 IBU,"Rock Hall Beer Premium Pale Ale
Aromas muy definidos. Encontramos hierba fresca, toques de cítricos, de frutas tropicales y menta.
Color rubio dorado: oro joven y cristalino. Retención de espuma generosa con corona persistente y gasificación media; Un ligero poso de levadura que no molesta ..."
4550,"Cesc Blat 201 starstarstarstarstar_border 3,80 ",Weizen-Weissbier - 5.5 º - 20 IBU,"Cesc Blat 201
Elaborada en Marina de Blanes, según la receta que realizaba el chef Toni Romero como homebrewer. Se utiliza naranja entre sus ingredientes."
4551,"Kusfollin starstarstarstar_halfstar_border 3,48 ",American Pale Ale - 5.5 º - 35 IBU,"Kusfollin
Cervesa Artesana Catalana
West Coast Pale Ale
Producida por Roger Cisa ( Brew home - Oh my Beer )"
4552,"Microbombolla Maguau starstarstarstar_halfstar_border 3,30 ",American Pale Ale - 6.5 º - 52 IBU,"Microbombolla Maguau
American Pale Ale
Aigua: Aigua mineral del Montseny
Malta: Pale Ale, Pilsner, Cararuby
Llúpol: Galena (US), Galaxy (NZ) [DRY]
Llevat US-05
Irish Mosh
IBU 52EBC 216,5%
Fab: 2015/12/19Emb: 2016/01/03Pref: 2016/12/19"
4553,"Microbombolla Alhora starstarstarstarstar_border 3,80 ",Weizen-Weissbier - 4.6 º - 25 IBU,"Microbombolla Alhora
Wheat Ale
Aigua: Aigua mineral del Montseny
Malta: Pilsner, Blat, Crystal, Xocolata
Llúpol: Nugget (US), Saaz (CZ)
Llevat WB-06
Irish Mosh
IBU 25EBC 224,6%
Fab: 2016/03/19Emb: 2016/04/02Pref: 2017/03/19
Producció 162 ampolles"
4554,"Microbombolla Galaxy starstarstarstarstar_border 4,10 ",India Pale Ale - 6.8 º - 108 IBU,"Microbombolla Galaxy
Single Hop IPA
Aigua: Aigua mineral del Montseny
Malta: Viena, Blat, Melano Light, Cararuby
Llúpol: Galaxy (NZ) [DRY]
Llevat US-05
Irish Mosh
IBU 108EBC 176,8%
Fab: 2016/02/21Emb: 2016/03/04Pref: 2017/02/21"
